Cruise No.,Cast where bottle chl-a is recorded,Depth of Chlorophyll Maximum (dbar)*,,,,*Calculated as average of the maxima from each cast on that cruise.
370,4,92,,,,
371,13,89,,,,
372,2,116,,,,
373,4,131,,,,
374,7,96,,,,
375,13,117,,,,
376,9,102,,,,
377,7,47,,,,
378,12,26,,,,
379,10,78,,,,
380,nan,nan,,,,
381,11,102,,,,
382,7,107,,,,
383,10,106,,,,
384,15,107,,,,
385,7,108,,,,
386,10,99,,,,
387,6,90,,,,
388,"1, 2, 21",98,"119, 125, 49",,,
389,7,124,,,,
390,12,97,,,,
391,10,105,,,,
392,10,137,,,,
393,11,98,,,,
394,11,99,,,,
395,12,113,,,,
396,9,98,,,,
397,15,110,,,,
398,7,81,,,,
399,22,113,,,,
400,13,112,,,,
401,9,53,,,,
402,2,121,,,,
403,12,90,,,,
404,13,109,,,,
405,11,103,,,,
